rank,cell_index,suitability_score,obstacle,transport,land_use,nfz,traffic_density,socioeconomic,hard_constraint_violation
1,881ec914adfffff,75.22,0.2564133432941542,0.46698817314277125,0.4741503744931311,1.0,0.24375,0.6353052291938204,
2,881ec915dbfffff,55.69,0.24898284225468123,0.32260039712362926,0.48985749605806955,1.0,0.25863636363636366,0.7005022456994379,
3,881ec914e7fffff,23.24,0.3406147953450248,0.34866044282649183,0.5119964947858817,1.0,0.2475,0.32268059780216213,
